TRACT,ZIP,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
01001020100,36067,1.000000000,1.000000000,1.000000000,1.000000000
01001020200,36067,1.000000000,1.000000000,1.000000000,1.000000000
01001020300,36067,1.000000000,1.000000000,1.000000000,1.000000000
01001020400,36066,0.974812433,0.417721519,0.750000000,0.929901961
01001020400,36067,0.025187567,0.582278481,0.250000000,0.070098039
01001020500,36067,0.000896057,0.018757327,0.000000000,0.002810783
01001020500,36066,0.801971326,0.524032825,0.992805755,0.778459180
01001020500,36068,0.197132616,0.457209848,0.007194245,0.218730037
01001020600,36067,1.000000000,1.000000000,1.000000000,1.000000000
01001020700,36067,1.000000000,1.000000000,1.000000000,1.000000000
01001020801,36067,1.000000000,1.000000000,1.000000000,1.000000000
01001020802,36066,0.247251723,0.243243243,0.058823529,0.246587807
01001020802,36022,0.194708403,0.072072072,0.000000000,0.191628753
01001020802,36008,0.005589715,0.036036036,0.000000000,0.006187443
01001020802,36067,0.552450158,0.648648649,0.941176471,0.555595996
01001020900,36051,0.272017489,0.474576271,0.586206897,0.278419453
01001020900,36067,0.265459088,0.152542373,0.172413793,0.262613982
01001020900,36022,0.393504060,0.288135593,0.241379310,0.390273556
01001020900,36066,0.003747658,0.033898305,0.000000000,0.004255319
01001020900,36091,0.065271705,0.050847458,0.000000000,0.064437690
01001021000,36006,0.327198364,0.473684211,0.555555556,0.330434783
01001021000,36758,0.111111111,0.105263158,0.000000000,0.110367893
01001021000,36067,0.376959782,0.315789474,0.000000000,0.373913043
01001021000,36749,0.176550784,0.105263158,0.444444444,0.177257525
01001021000,36091,0.008179959,0.000000000,0.000000000,0.008026756
01001021100,36067,0.284444444,0.185185185,0.000000000,0.278846154
01001021100,36703,0.067777778,0.185185185,0.000000000,0.070512821
01001021100,36749,0.084444444,0.018518519,0.166666667,0.083333333
01001021100,36003,0.552777778,0.611111111,0.833333333,0.557158120
01001021100,36006,0.010555556,0.000000000,0.000000000,0.010149573
01003010100,36480,0.002919708,0.000000000,0.000000000,0.002828854
01003010100,36502,0.061800487,0.145833333,0.000000000,0.063177746
01003010100,36562,0.206326034,0.104166667,0.166666667,0.203677511
01003010100,36550,0.063260341,0.083333333,0.000000000,0.063177746
01003010100,36507,0.249635036,0.145833333,0.222222222,0.247053277
01003010100,36579,0.416058394,0.520833333,0.611111111,0.420084866
01003010200,36507,0.750175439,0.710526316,0.393939394,0.741310160
01003010200,36562,0.249824561,0.289473684,0.606060606,0.258689840
01003010300,36507,0.674423710,0.674157303,0.942307692,0.677324974
01003010300,36527,0.109549945,0.011235955,0.038461538,0.105120167
01003010300,36578,0.216026345,0.314606742,0.019230769,0.217554859
01003010400,36507,0.390868597,0.153333333,0.500000000,0.379944483
01003010400,36578,0.173348181,0.073333333,0.000000000,0.165857044
01003010400,36551,0.146993318,0.493333333,0.447368421,0.168979875
01003010400,36567,0.288789903,0.280000000,0.052631579,0.285218598
01003010500,36507,1.000000000,1.000000000,1.000000000,1.000000000
01003010600,36507,1.000000000,1.000000000,1.000000000,1.000000000
01003010701,36527,0.857411273,0.560360360,0.978260870,0.829133713
01003010701,36577,0.142588727,0.439639640,0.021739130,0.170866287
01003010703,36551,0.010570584,0.000000000,0.000000000,0.009701648
01003010703,36578,0.003978177,0.003048780,0.000000000,0.003859796
01003010703,36527,0.300522846,0.530487805,0.560606061,0.319841435
01003010703,36532,0.086724256,0.120426829,0.128787879,0.089609848
01003010703,36507,0.001250284,0.000000000,0.000000000,0.001147507
01003010703,36526,0.596953853,0.346036585,0.310606061,0.575839766
01003010704,36526,1.000000000,1.000000000,1.000000000,1.000000000
01003010705,36527,0.000737871,0.018939394,0.007575758,0.002466700
01003010705,36526,0.999262129,0.981060606,0.992424242,0.997533300
01003010800,36559,0.138814913,0.089930822,0.007692308,0.127974190
01003010800,36532,0.066245007,0.127594158,0.253846154,0.080252722
01003010800,36526,0.794940080,0.782475019,0.738461538,0.791773088
01003010903,36551,1.000000000,1.000000000,1.000000000,1.000000000
01003010904,36551,0.189931973,0.196261682,0.121212121,0.189515072
01003010904,36567,0.576326531,0.579439252,0.454545455,0.575360419
01003010904,36574,0.233741497,0.224299065,0.424242424,0.235124509
01003010905,36576,0.537273824,0.079510703,0.364238411,0.499242916
01003010905,36567,0.351507841,0.920489297,0.615894040,0.400389358
01003010905,36551,0.111218335,0.000000000,0.019867550,0.100367727
01003010906,36551,0.034787124,0.250000000,0.016393443,0.037220844
01003010906,36567,0.965212876,0.750000000,0.983606557,0.962779156
01003011000,36567,0.018091625,0.027491409,0.035087719,0.019072848
01003011000,36535,0.004668807,0.000000000,0.000000000,0.004238411
01003011000,36576,0.006127809,0.000000000,0.000000000,0.005562914
01003011000,36580,0.928217100,0.969072165,0.912280702,0.931125828
01003011000,36530,0.042894660,0.003436426,0.052631579,0.040000000
01003011101,36532,1.000000000,1.000000000,1.000000000,1.000000000
01003011102,36532,1.000000000,1.000000000,1.000000000,1.000000000
01003011201,36532,0.509376891,0.348993289,0.970873786,0.489762490
01003011201,36564,0.230490018,0.090124640,0.009708738,0.202784603
01003011201,36533,0.260133091,0.560882071,0.019417476,0.307452907
01003011202,36532,1.000000000,1.000000000,1.000000000,1.000000000
01003011300,36532,1.000000000,1.000000000,1.000000000,1.000000000
01003011401,36511,0.115774240,0.221719457,0.071428571,0.118594640
01003011401,36580,0.116353111,0.054298643,0.200000000,0.115261769
01003011401,36535,0.680318379,0.687782805,0.585714286,0.679627829
01003011401,36555,0.087554269,0.036199095,0.142857143,0.086515762
01003011403,36535,0.320156047,0.316849817,0.321739130,0.319961681
01003011403,36561,0.045773732,0.018315018,0.017391304,0.043587594
01003011403,36542,0.634070221,0.664835165,0.660869565,0.636450724
01003011405,36561,1.000000000,1.000000000,1.000000000,1.000000000
01003011406,36561,0.817413356,0.837967402,0.674528302,0.816587368
01003011406,36542,0.182586644,0.162032598,0.325471698,0.183412632
01003011407,36542,0.439116911,0.237226277,0.985074627,0.432552875
01003011407,36547,0.560883089,0.762773723,0.014925373,0.567447125
01003011408,36542,1.000000000,1.000000000,1.000000000,1.000000000
01003011501,36535,0.999703176,1.000000000,1.000000000,0.999747283
01003011501,36580,0.000296824,0.000000000,0.000000000,0.000252717
01003011502,36530,0.001417100,0.000000000,0.000000000,0.001203128
01003011502,36536,0.181270666,0.228352490,0.009950249,0.183978344
01003011502,36535,0.817312234,0.771647510,0.990049751,0.814818528
01003011601,36530,0.971797632,0.994845361,1.000000000,0.973061224
01003011601,36535,0.010333692,0.000000000,0.000000000,0.009795918
01003011601,36549,0.003875135,0.000000000,0.000000000,0.003673469
01003011601,36580,0.013993541,0.005154639,0.000000000,0.013469388
01003011602,36530,0.132333936,0.102941176,0.333333333,0.131979695
01003011602,36574,0.000258465,0.000000000,0.000000000,0.000253807
01003011602,36549,0.867407599,0.897058824,0.666666667,0.867766497
01005950100,36027,0.523209345,0.388185654,0.941176471,0.509970752
01005950100,36072,0.394405164,0.573839662,0.029411765,0.413719755
01005950100,36016,0.002766677,0.000000000,0.000000000,0.002392981
01005950100,36053,0.079618813,0.037974684,0.029411765,0.073916512
01005950200,36016,0.891156463,0.914285714,1.000000000,0.900646678
01005950200,36048,0.004761905,0.009523810,0.000000000,0.004703116
01005950200,36053,0.104081633,0.076190476,0.000000000,0.094650206
01005950300,36016,0.200215285,0.178571429,0.333333333,0.200415369
01005950300,36017,0.017222820,0.071428571,0.000000000,0.018691589
01005950300,36048,0.782561895,0.750000000,0.666666667,0.780893043
01005950400,36016,0.057082452,0.040540541,0.024390244,0.055261893
01005950400,36311,0.174947146,0.040540541,0.024390244,0.162421913
01005950400,36317,0.010570825,0.006756757,0.000000000,0.010091302
01005950400,36048,0.041226216,0.020270270,0.024390244,0.039404133
01005950400,36017,0.679704017,0.858108108,0.926829268,0.697260932
01005950400,36374,0.036469345,0.033783784,0.000000000,0.035559827
01005950500,36317,0.001350743,0.000000000,0.000000000,0.001287554
01005950500,36027,0.894191805,0.918604651,0.956521739,0.895708155
01005950500,36016,0.104457452,0.081395349,0.043478261,0.103004292
01005950600,36027,0.833044983,0.981900452,0.948717949,0.859463277
01005950600,36016,0.166955017,0.018099548,0.051282051,0.140536723
01005950700,36016,0.000000000,0.009803922,0.000000000,0.000963391
01005950700,36053,0.057671382,0.058823529,0.000000000,0.056840077
01005950700,36027,0.942328618,0.931372549,1.000000000,0.942196532
01005950800,36027,0.994509804,1.000000000,0.979166667,0.995177818
