"ZipCode","Borough","Total_Population","Total_Housing_Units","total_dogs","Dogs_Per_Person","Dogs_Per_Housing_Unit"
10001,"Manhattan",17310,9806,5648,0.326285384170999,0.575973893534571
10002,"Manhattan",84870,32965,6982,0.0822669965830093,0.211800394357652
10003,"Manhattan",53673,31154,8234,0.153410467087735,0.264299929383065
10004,"Manhattan",1225,779,808,0.659591836734694,1.03722721437741
10005,"Manhattan",884,562,2007,2.27036199095023,3.5711743772242
10006,"Manhattan",1447,978,795,0.549412577747063,0.812883435582822
10007,"Manhattan",3522,1333,1405,0.398921067575241,1.05401350337584
10009,"Manhattan",58595,30199,11229,0.191637511733083,0.371833504420676
10010,"Manhattan",26408,16648,6544,0.247803695849742,0.393080249879865
10011,"Manhattan",46669,30277,11873,0.254408708136022,0.392145853287974
10012,"Manhattan",26000,14625,4609,0.177269230769231,0.315145299145299
10013,"Manhattan",25042,11230,4152,0.165801453558023,0.369723953695459
10014,"Manhattan",32667,21597,7862,0.240671013561086,0.364032041487244
10016,"Manhattan",51217,33203,8332,0.162680360036707,0.250941180013854
10017,"Manhattan",16201,12696,2374,0.146534164557743,0.186988027725268
10018,"Manhattan",4255,2299,2144,0.503877790834313,0.932579382340148
10019,"Manhattan",36012,26090,9064,0.251693879817838,0.347412801839785
10020,"Manhattan",1,1,25,25,25
10021,"Manhattan",102078,69449,7763,0.0760496874938772,0.111779867240709
10022,"Manhattan",30642,23000,6111,0.199432151948306,0.265695652173913
10023,"Manhattan",62206,40620,13208,0.212326785197569,0.325160019694732
10024,"Manhattan",61414,35838,12299,0.200263783502133,0.343183213348959
10025,"Manhattan",97086,48391,16150,0.166347362132542,0.333739744993904
10026,"Manhattan",30377,13632,3410,0.112255983145143,0.250146713615023
10027,"Manhattan",56168,25625,5036,0.0896595926506196,0.196526829268293
10028,"Manhattan",44987,28014,9250,0.205614955431569,0.330192046833726
10029,"Manhattan",75390,29068,8646,0.114683645045762,0.29744048438145
10030,"Manhattan",25847,12934,1849,0.0715363485123999,0.142956548631514
10031,"Manhattan",60221,22778,4016,0.0666877003038807,0.176310475019756
10032,"Manhattan",63842,21831,3888,0.060900347733467,0.17809536897073
10033,"Manhattan",58259,20012,4166,0.0715082648174531,0.208175094943034
10034,"Manhattan",41756,15660,3521,0.0843232110355398,0.224840357598978
10035,"Manhattan",32702,12054,3019,0.092318512629197,0.250456280073005
10036,"Manhattan",18751,11618,6474,0.345261586048744,0.55723876742985
10037,"Manhattan",16984,9033,1522,0.0896137541215261,0.16849330233588
10038,"Manhattan",15574,6938,4314,0.27700012841916,0.621793023926204
10039,"Manhattan",21737,9827,2101,0.0966554722362792,0.213798717818256
10040,"Manhattan",46599,16676,3181,0.0682632674520912,0.190753178220197
10044,"Manhattan",9520,3252,1232,0.129411764705882,0.378843788437884
10048,"Manhattan",55,0,5,0.0909090909090909,Inf
10069,"Manhattan",1403,1379,1626,1.15894511760513,1.17911530094271
10128,"Manhattan",59856,34643,11932,0.199345094894413,0.344427445660018
